iso	country	year	eq_tr	r_eq_tr	housing_tr	r_housing_tr	dc
FRA	France	2007	0.03063	0.01438	0.09270	0.07547	0.0054
FRA	France	2008	-0.40893	-0.42704	0.03427	0.00257	-0.000994629
FRA	France	2009	0.29032	0.28900	-0.04475	-0.04573	0.001194743
FRA	France	2010	0.04189	0.02411	0.08001	0.06158	0.01339207
FRA	France	2011	-0.13389	-0.15185	0.08704	0.06450	0.00132185
FRA	France	2012	0.20369	0.18060	0.02206	0.00245	-0.009039265
FRA	France	2013	0.22217	0.21171	0.00595	-0.00266	-6.59276E-05
FRA	France	2014	0.02708	0.02190	0.01019	0.00509	0.003432879
FRA	France	2015	0.11945	0.11902	0.01063	0.01025	0.011188311
DEU	Germany	1950	-0.08311	-0.02229			
DEU	Germany	1951	1.17748	1.02268			0.067630058
DEU	Germany	1952	0.21792	0.19248			0.085002707
DEU	Germany	1953	0.25190	0.27558			0.099301397
DEU	Germany	1954	0.89262	0.88816			0.049931911
DEU	Germany	1955	0.11041	0.09238			0.094249892
DEU	Germany	1956	-0.04888	-0.07255			0.075859344
DEU	Germany	1957	0.07799	0.05570			0.050312156
DEU	Germany	1958	0.61110	0.57817			0.038111888
DEU	Germany	1959	0.81962	0.80202			0.046480296
DEU	Germany	1960	0.37916	0.35896			0.069842292
DEU	Germany	1961	-0.06964	-0.09035			0.046329723
DEU	Germany	1962	-0.21531	-0.23728			0.042840713
DEU	Germany	1963	0.12049	0.08801	0.21195	0.17681	0.018472567
DEU	Germany	1964	0.09510	0.07001	0.10744	0.08206	0.042501354
DEU	Germany	1965	-0.11891	-0.14648	0.23933	0.20055	0.057387692
DEU	Germany	1966	-0.13634	-0.16653	0.15162	0.11136	0.021611002
DEU	Germany	1967	0.37916	0.35735	0.13060	0.11272	0.008173077
DEU	Germany	1968	0.15988	0.14133	0.12690	0.10888	0.043872198
DEU	Germany	1969	0.19146	0.16955	0.07531	0.05554	0.070123344
DEU	Germany	1970	-0.21519	-0.24127	0.11929	0.08210	0.065955176
DEU	Germany	1971	0.07234	0.01898	0.10539	0.05038	0.044052863
DEU	Germany	1972	0.16431	0.10366	0.10073	0.04339	0.04756425
DEU	Germany	1973	-0.15125	-0.20674	0.10577	0.03348	0.023617722
DEU	Germany	1974	0.02421	-0.04246	0.10722	0.03514	-0.003040601
DEU	Germany	1975	0.31156	0.23802	0.05236	-0.00664	0.040904198
DEU	Germany	1976	-0.02220	-0.06248	0.05396	0.01054	0.047569804
DEU	Germany	1977	0.12451	0.08448	0.08949	0.05071	0.044587035
DEU	Germany	1978	0.11919	0.08991	0.10260	0.07375	0.037171208
DEU	Germany	1979	-0.09371	-0.12954	0.14431	0.09907	0.031890661
DEU	Germany	1980	0.03376	-0.01939	0.10355	0.04681	0.011626196
DEU	Germany	1981	0.02798	-0.03318	0.09796	0.03264	-0.005673553
DEU	Germany	1982	0.14812	0.09068	0.04420	-0.00804	-0.00936357
DEU	Germany	1983	0.39329	0.34910	0.03307	0.00030	0.017574952
DEU	Germany	1984	0.10989	0.08379	0.00984	-0.01390	0.023657475
DEU	Germany	1985	0.66651	0.63092	0.03620	0.01407	0.020983978
DEU	Germany	1986	0.15035	0.15179	0.03691	0.03821	0.037494792
DEU	Germany	1987	-0.33509	-0.33669	0.02493	0.02245	0.035470486
DEU	Germany	1988	0.27899	0.26291	0.05139	0.03817	0.020423992
DEU	Germany	1989	0.31482	0.27928	0.07689	0.04778	0.020395237
DEU	Germany	1990	-0.06979	-0.09421	0.11144	0.08226	0.018621974
DEU	Germany	1991	0.12856	0.08896	0.08763	0.04947	0.034978672
DEU	Germany	1992	-0.02087	-0.06801	0.11082	0.05734	0.025435704
DEU	Germany	1993	0.46706	0.40446	0.09633	0.04955	0.001378043
DEU	Germany	1994	-0.07063	-0.09536	0.08303	0.05421	0.016399083
DEU	Germany	1995	0.06992	0.05059	0.05137	0.03237	0.018842378
DEU	Germany	1996	0.22142	0.20351	0.03320	0.01805	0.010188261
DEU	Germany	1997	0.40826	0.38731	0.02549	0.01023	0.00690638
DEU	Germany	1998	0.15536	0.14818	0.02640	0.02002	0.014371257
DEU	Germany	1999	0.31675	0.30834	0.06510	0.05829	0.029086616
DEU	Germany	2000	-0.09912	-0.11123	0.04600	0.03194	0.022423863
DEU	Germany	2001	-0.17914	-0.19453	0.04654	0.02692	0.017545649
DEU	Germany	2002	-0.39940	-0.40734	0.01941	0.00593	-0.008721805
DEU	Germany	2003	0.37576	0.36164	0.03952	0.02885	0.000707929
DEU	Germany	2004	0.08466	0.06558	0.03079	0.01266	0.001616978
DEU	Germany	2005	0.28202	0.25752	0.03193	0.01221	-0.000807184
DEU	Germany	2006	0.24087	0.21888	0.05307	0.03441	0.009795012
DEU	Germany	2007	0.20423	0.17764	0.06431	0.04081	-0.001
DEU	Germany	2008	-0.42579	-0.44119	0.06006	0.03162	0.004704705
DEU	Germany	2009	0.25404	0.25120	0.05924	0.05684	0.000298894
DEU	Germany	2010	0.18458	0.17112	0.08007	0.06780	0.005252591
DEU	Germany	2011	-0.14816	-0.16548	0.10771	0.08519	0.037544788
DEU	Germany	2012	0.29263	0.26718	0.14848	0.12587	0.013101583
DEU	Germany	2013	0.26746	0.24867	0.11136	0.09488	0.000883182
DEU	Germany	2014	0.03094	0.02168	0.09792	0.08806	0.00630299
DEU	Germany	2015	0.11330	0.11069	0.09681	0.09425	0.010581383
ITA	Italy	1950	0.09795	0.10560	0.02974	0.03691	
ITA	Italy	1951	0.13668	-0.00541	0.21228	0.06075	0.025773196
ITA	Italy	1952	0.41880	0.39290	0.04753	0.02841	0.060859855
ITA	Italy	1953	0.08180	0.06665	0.03888	0.02434	0.059473684
ITA	Italy	1954	0.34936	0.30847	0.07571	0.04311	0.007948336
ITA	Italy	1955	0.07480	0.04319	0.05734	0.02624	0.039921143
ITA	Italy	1956	0.04603	0.01614	0.06712	0.03663	0.042654028
ITA	Italy	1957	0.03657	0.02197	0.06733	0.05229	0.045454545
ITA	Italy	1958	0.29207	0.25667	0.05007	0.02131	0.035652174
ITA	Italy	1959	0.60400	0.60400	0.04701	0.04701	0.042401343
ITA	Italy	1960	0.23028	0.21365	0.08383	0.06919	0.056786146
ITA	Italy	1961	0.05376	0.02602	0.10609	0.07698	0.068978659
ITA	Italy	1962	-0.13783	-0.17057	0.13920	0.09594	0.073083779
ITA	Italy	1963	-0.11273	-0.17536	0.15482	0.07331	0.091694352
ITA	Italy	1964	-0.22266	-0.26585	0.17531	0.11001	0.033779671
ITA	Italy	1965	0.25353	0.20018	0.05562	0.01070	0.027377097
ITA	Italy	1966	0.00905	-0.02216	0.06906	0.03600	0.062750716
ITA	Italy	1967	0.04693	0.01552	0.07243	0.04025	0.065516312
ITA	Italy	1968	0.05510	0.03441	0.14579	0.12332	0.047317814
ITA	Italy	1969	0.18874	0.16588	0.09040	0.06943	0.065474752
ITA	Italy	1970	-0.16629	-0.20454	0.11604	0.06485	0.053287982
ITA	Italy	1971	-0.13208	-0.17736	0.08347	0.02694	0.032723358
ITA	Italy	1972	0.13676	0.08040	0.14696	0.09008	0.027308735
ITA	Italy	1973	0.19723	0.08108	0.14807	0.03669	0.052150974
ITA	Italy	1974	-0.27807	-0.39538	0.95594	0.63810	0.024108004
ITA	Italy	1975	-0.01970	-0.16124	0.05788	-0.09486	-0.003578154
ITA	Italy	1976	-0.07536	-0.20685	0.29408	0.11006	0.039123039
ITA	Italy	1977	-0.25169	-0.36277	0.10139	-0.06210	0.02691888
ITA	Italy	1978	0.31607	0.17391	0.14079	0.01757	0.022670917
ITA	Italy	1979	0.09938	-0.04097	0.27502	0.11225	0.064946311
ITA	Italy	1980	0.83847	0.51593	0.40840	0.16131	0.057570337
ITA	Italy	1981	0.08285	-0.08073	0.32348	0.12355	0.014916193
ITA	Italy	1982	-0.08782	-0.21623	0.16040	-0.00295	0.009090909
ITA	Italy	1983	0.32557	0.15644	0.10840	-0.03302	-0.002252252
ITA	Italy	1984	0.20127	0.08374	0.04732	-0.05515	0.029044394
ITA	Italy	1985	0.99938	0.83079	0.05685	-0.03226	0.02851711
ITA	Italy	1986	0.73319	0.63822	0.06859	0.01004	0.040807621
ITA	Italy	1987	-0.28499	-0.31730	0.10264	0.05282	0.03647541
ITA	Italy	1988	0.27984	0.21759	0.18197	0.12447	0.040463951
ITA	Italy	1989	0.12505	0.05916	0.22976	0.15773	0.039143653
